"Country or Area","Year(s)","Variant","Value"
"Burundi","2043","Low","20530.782"
"Burundi","2043","Constant fertility","24697.285"
"Burundi","2043","Instant replacement","15986.424"
"Burundi","2043","Zero migration","21653.341"
"Burundi","2043","Constant mortality","20880.028"
"Burundi","2043","No change","23723.599"
"Burundi","2043","Momentum","15645.772"
"Burundi","2042","Medium","21225.652"
"Burundi","2042","High","22335.867"
"Burundi","2042","Low","20118.786"
"Burundi","2042","Constant fertility","23922.798"
"Burundi","2042","Instant replacement","15770.578"
"Burundi","2042","Zero migration","21161.55"
"Burundi","2042","Constant mortality","20458.541"
"Burundi","2042","No change","23041.913"
"Burundi","2042","Momentum","15457.318"
"Burundi","2041","Medium","20736.265"
"Burundi","2041","High","21765.411"
"Burundi","2041","Low","19709.258"
"Burundi","2041","Constant fertility","23173.237"
"Burundi","2041","Instant replacement","15553.657"
"Burundi","2041","Zero migration","20675.573"
"Burundi","2041","Constant mortality","20038.842"
"Burundi","2041","No change","22378.861"
"Burundi","2041","Momentum","15266.372"
"Burundi","2040","Medium","20252.941"
"Burundi","2040","High","21204.464"
"Burundi","2040","Low","19302.695"
"Burundi","2040","Constant fertility","22447.745"
"Burundi","2040","Instant replacement","15336.88"
"Burundi","2040","Zero migration","20195.643"
"Burundi","2040","Constant mortality","19621.3"
"Burundi","2040","No change","21733.885"
"Burundi","2040","Momentum","15074.216"
"Burundi","2039","Medium","19775.884"
"Burundi","2039","High","20653.134"
"Burundi","2039","Low","18899.323"
"Burundi","2039","Constant fertility","21745.534"
"Burundi","2039","Instant replacement","15120.879"
"Burundi","2039","Zero migration","19721.949"
"Burundi","2039","Constant mortality","19206.158"
"Burundi","2039","No change","21106.51"
"Burundi","2039","Momentum","14881.475"
"Burundi","2038","Medium","19305.201"
"Burundi","2038","High","20111.346"
"Burundi","2038","Low","18499.386"
"Burundi","2038","Constant fertility","21065.843"
"Burundi","2038","Instant replacement","14906.278"
"Burundi","2038","Zero migration","19254.608"
"Burundi","2038","Constant mortality","18793.64"
"Burundi","2038","No change","20496.256"
"Burundi","2038","Momentum","14688.792"
"Burundi","2037","Medium","18840.991"
"Burundi","2037","High","19578.685"
"Burundi","2037","Low","18103.424"
"Burundi","2037","Constant fertility","20407.809"
"Burundi","2037","Instant replacement","14694.24"
"Burundi","2037","Zero migration","18793.703"
"Burundi","2037","Constant mortality","18383.941"
"Burundi","2037","No change","19902.536"
"Burundi","2037","Momentum","14497.406"
"Burundi","2036","Medium","18383.28"
"Burundi","2036","High","19054.576"
"Burundi","2036","Low","17712.012"
"Burundi","2036","Constant fertility","19770.551"
"Burundi","2036","Instant replacement","14486.062"
"Burundi","2036","Zero migration","18339.273"
"Burundi","2036","Constant mortality","17977.221"
"Burundi","2036","No change","19324.749"
"Burundi","2036","Momentum","14308.687"
"Burundi","2035","Medium","17932.084"
"Burundi","2035","High","18538.638"
"Burundi","2035","Low","17325.52"
"Burundi","2035","Constant fertility","19153.276"
"Burundi","2035","Instant replacement","14282.783"
"Burundi","2035","Zero migration","17891.313"
"Burundi","2035","Constant mortality","17573.602"
"Burundi","2035","No change","18762.334"
"Burundi","2035","Momentum","14123.719"
"Burundi","2034","Medium","17487.424"
"Burundi","2034","High","18030.644"
"Burundi","2034","Low","16944.206"
"Burundi","2034","Constant fertility","18555.233"
"Burundi","2034","Instant replacement","14085.063"
"Burundi","2034","Zero migration","17449.864"
"Burundi","2034","Constant mortality","17173.211"
"Burundi","2034","No change","18214.798"
"Burundi","2034","Momentum","13943.222"
"Burundi","2033","Medium","17049.322"
"Burundi","2033","High","17530.794"
"Burundi","2033","Low","16567.841"
"Burundi","2033","Constant fertility","17975.808"
"Burundi","2033","Instant replacement","13893.143"
"Burundi","2033","Zero migration","17014.924"
"Burundi","2033","Constant mortality","16776.147"
"Burundi","2033","No change","17681.733"
"Burundi","2033","Momentum","13767.446"
"Burundi","2032","Medium","16617.638"
"Burundi","2032","High","17039.609"
"Burundi","2032","Low","16195.653"
"Burundi","2032","Constant fertility","17414.382"
"Burundi","2032","Instant replacement","13707.003"
"Burundi","2032","Zero migration","16586.351"
"Burundi","2032","Constant mortality","16382.353"
"Burundi","2032","No change","17162.687"
"Burundi","2032","Momentum","13596.427"
"Burundi","2031","Medium","16192.196"
"Burundi","2031","High","16557.851"
"Burundi","2031","Low","15826.526"
"Burundi","2031","Constant fertility","16870.405"
"Burundi","2031","Instant replacement","13526.397"
"Burundi","2031","Zero migration","16163.964"
"Burundi","2031","Constant mortality","15991.69"
"Burundi","2031","No change","16657.233"
"Burundi","2031","Momentum","13429.939"
"Burundi","2030","Medium","15772.822"
"Burundi","2030","High","16086.044"
"Burundi","2030","Low","15459.595"
"Burundi","2030","Constant fertility","16343.334"
"Burundi","2030","Instant replacement","13351.114"
"Burundi","2030","Zero migration","15747.583"
"Burundi","2030","Constant mortality","15604.071"
"Burundi","2030","No change","16164.987"
"Burundi","2030","Momentum","13267.841"
"Burundi","2029","Medium","15359.502"
"Burundi","2029","High","15624.376"
"Burundi","2029","Low","15094.466"
"Burundi","2029","Constant fertility","15832.624"
"Burundi","2029","Instant replacement","13178.124"
"Burundi","2029","Zero migration","15337.093"
"Burundi","2029","Constant mortality","15219.453"
"Burundi","2029","No change","15685.534"
"Burundi","2029","Momentum","13107.085"
"Burundi","2028","Medium","14952.174"
"Burundi","2028","High","15172.7"
"Burundi","2028","Low","14731.099"
"Burundi","2028","Constant fertility","15337.721"
"Burundi","2028","Instant replacement","13006.894"
"Burundi","2028","Zero migration","14932.418"
"Burundi","2028","Constant mortality","14837.843"
"Burundi","2028","No change","15218.525"
"Burundi","2028","Momentum","12947.159"
"Burundi","2027","Medium","14550.631"
"Burundi","2027","High","14730.69"
"Burundi","2027","Low","14369.711"
"Burundi","2027","Constant fertility","14858.097"
"Burundi","2027","Instant replacement","12842.377"
"Burundi","2027","Zero migration","14533.48"
"Burundi","2027","Constant mortality","14459.277"
"Burundi","2027","No change","14763.577"
"Burundi","2027","Momentum","12793.055"
"Burundi","2026","Medium","14154.613"
"Burundi","2026","High","14297.968"
"Burundi","2026","Low","14010.511"
"Burundi","2026","Constant fertility","14393.244"
"Burundi","2026","Instant replacement","12691.425"
"Burundi","2026","Zero migration","14140.213"
"Burundi","2026","Constant mortality","14083.783"
"Burundi","2026","No change","14320.363"
"Burundi","2026","Momentum","12651.721"
"Burundi","2025","Medium","13763.922"
"Burundi","2025","High","13874.237"
"Burundi","2025","Low","13653.602"
"Burundi","2025","Constant fertility","13942.68"
"Burundi","2025","Instant replacement","12557.049"
"Burundi","2025","Zero migration","13752.51"
"Burundi","2025","Constant mortality","13711.328"
"Burundi","2025","No change","13888.557"
"Burundi","2025","Momentum","12526.179"
"Burundi","2024","Medium","13378.739"
"Burundi","2024","High","13459.354"
"Burundi","2024","Low","13298.86"
"Burundi","2024","Constant fertility","13505.986"
"Burundi","2024","Instant replacement","12444.645"
"Burundi","2024","Zero migration","13370.232"
"Burundi","2024","Constant mortality","13341.851"
"Burundi","2024","No change","13467.854"
"Burundi","2024","Momentum","12421.957"
"Burundi","2023","Medium","12999.146"
"Burundi","2023","High","13053.314"
"Burundi","2023","Low","12945.929"
"Burundi","2023","Constant fertility","13082.773"
"Burundi","2023","Instant replacement","12347.551"
"Burundi","2023","Zero migration","12993.182"
